isolates,log
11157,0.15624619
19089,0.414973348
19093,0.24723655
19094,-0.573488739
19104,0.548143637
19105,0.397940009
19114,0.041392685
19115,-0.175874166
19117,0.308137379
19129,-0.246416941
19130,0.255272505
19131,0.230448921
19133,0.386142109
19135,0.176091259
19136,0.146128036
19137,-0.045757491
19139,0.681241237
19144,0.544068044
19151,0.24723655
19153,-0.061980903
19154,0.457427693
19155,0.195068996
23262,-0.134896025
23269,0.973127854
23273,0.278753601
23285,1.62838893
23291,0.74296067
23292,0.315340477
23294,0.315340477
23296,2.006037955
23298,0.672097858
23299,0.753353213
23300,0.535673803
23302,0.477121255
23303,0.278753601
23304,1.292986667
23306,0.491361694
23308,0.212986185
23309,0.452246575
23310,-1
23312,0.028164419
23313,0.462397998
23315,1.015653099
23316,0.646697731
23317,0.726971584
23318,0.544068044
23320,-0.045757491
23327,0.166430114
23328,0.328990855
23329,0.361727836
23331,0.775756038
23333,0.612783857
23334,0.698970004
23344,0.86332286
23355,0.556302501
23356,1.749481228
23361,1.214843848
23363,1.308927063
23365,-0.777283529
23367,0.361727836
23369,0.491361694
23370,0.913813852
23373,0.808413551
23374,1.106088858
23376,0.616265405
23377,0.640183192
23385,0.15624619
23393,0.15624619
23400,-0.15490196
23403,2.205926685
23404,0.462397998
23405,-0.061980903
23407,0.544068044
23408,0.57205799
23409,-0.15490196
23410,0.067070856
23411,0.361727836
23413,0.985291719
23414,-0.435333936
23415,-0.397940009
23416,0.718750735
23418,0.823930455
23419,-0.030118356
23421,0.495960395
23448,2.241713293
23450,0.871164133
23451,0.367914739
23452,0.146128036
23454,0.014100322
23456,0.587374172
23458,0.392169149
23459,0.552303109
23466,0.587374172
23471,0.426023016
23474,0.041392685
23478,0.113943352
23480,0.753353213
23481,0.713238462
23483,0.374198258
23491,0.457427693
23496,-0.096910013
23504,0.457427693
23505,0.643452676
23508,1.684243752
23509,0.335858911
23511,-1
23512,0.079181246
23513,0.659631012
23515,0.374198258
23516,0.014100322
23520,0.787672965
23521,0.2219356
23523,0.486713776
23525,0.230448921
23526,0.656385719
23527,0.113943352
23533,0.014100322
23540,0.367914739
24147,0.185542155
24148,0.650015952
24160,0.328990855
24164,0.539953842
24166,0
24179,0.527243116
24184,1.271841607
24185,0.452246575
24186,0.335858911
24197,0.718750735
24221,0.392169149
24233,0.514149134
24253,0.552303109
24261,0.56431091
24262,0.970021266
24274,0.409425869
24275,0.876967967
24297,0.447158031
24300,0.286231854
24301,0.067070856
24302,0.768416088
24303,0.713238462
24306,0.659631012
24307,1.227886705
24308,0
24309,-1
24310,0.74296067
24312,0.656385719
24313,0.176091259
24314,1.046612209
24315,0.457427693
24316,0.255272505
24378,0.630122643
