isolates,log
11157,0.278753601
19089,0.922569769
19093,0.544068044
19094,-0.030118356
19104,0.794697127
19105,0.750739751
19114,0.386142109
19115,-0.079354999
19117,0.462397998
19129,-0.079354999
19130,0.748188027
19131,0.514149134
19133,0.73239376
19135,0.630122643
19136,0.40363519
19137,-0.15490196
19139,1.005738043
19144,0.750739751
19151,0.792391689
19153,0.271144318
19154,1.015653099
19155,0.420450859
23262,0.185542155
23269,1.222716471
23273,0.939519253
23285,1.717112717
23291,0.84509804
23292,1.038739348
23294,0.238798563
23296,2.098757908
23298,1.155336037
23299,1.073094865
23300,0.865281685
23302,0.94116346
23303,0.698970004
23304,1.250420002
23306,0.823930455
23308,0.531478917
23309,0.884625463
23310,-1
23312,0.491361694
23313,1.056904851
23315,1.224455364
23316,1.122772729
23317,0.95583201
23318,1.040087843
23320,0
23327,0.656385719
23328,0.348888723
23329,0.62324929
23331,1
23333,0.77815125
23334,1.033423755
23344,1.085183508
23355,0.812913357
23356,2.531521067
23361,1.095761959
23363,1.271841607
23365,0.500648063
23367,0.539953842
23369,0.745621221
23370,1.264038226
23373,1.040087843
23374,1.538234309
23376,0.950997334
23377,0.968482949
23385,0.361727836
23393,0.386142109
23400,0.113943352
23403,2.014239038
23404,1.173186268
23405,0.301029996
23407,1.612783857
23408,0.855337404
23409,0.102776615
23410,0.431363764
23411,0.838849091
23413,1.205934794
23414,0.348888723
23415,0.067070856
23416,0.755874856
23418,0.965342836
23419,0.760949951
23421,0.8409212
23448,2.012276074
23450,2.442479769
23451,0.810702861
23452,1.128173015
23454,0.392169149
23456,0.753353213
23458,0.780533325
23459,1.056904851
23466,1.073094865
23471,0.24723655
23474,0.568201724
23478,0.204119983
23480,0.960613458
23481,0.69609416
23483,0.342422681
23491,0.876967967
23496,0.028164419
23504,1.071882007
23505,0.602059991
23508,1.476643268
23509,0.24723655
23511,-1
23512,0.556302501
23513,0.893928127
23515,0.527243116
23516,0.544068044
23520,1.159356612
23521,0.792391689
23523,1.220970588
23525,0.77815125
23526,1.130333768
23527,0.522835314
23533,0.278753601
23540,0.57599562
24147,0.361727836
24148,0.942851007
24160,0.653212514
24164,0.583538819
24166,0.420450859
24179,0.949390007
24184,1.106088858
24185,0.899437454
24186,0.609274172
24197,1.46883453
24221,0.552303109
24233,1.119486836
24253,0.884625463
24261,1.058160203
24262,1.249614102
24274,0.758381942
24275,2.188458798
24297,0.865281685
24300,0.753353213
24301,0.770852012
24302,0.980775774
24303,1.189406086
24306,0.973127854
24307,1.340444115
24308,0.509605705
24309,-1
24310,1.118363944
24312,0.886490725
24313,0.477121255
24314,1.433497815
24315,0.875061263
24316,0.675136504
24378,0.94610823
